run,type,module,name,attrname,attrvalue,vectime,vecvalue
General-8-20260516-23:06:30-3608,config,,,**.loRaNodes[*].**initialLoRaCR,4,,
General-8-20260516-23:06:30-3608,config,,,**.loRaNodes[*].numApps,1,,
General-8-20260516-23:06:30-3608,config,,,**.loRaNodes[*].app[0].typename,SimpleLoRaApp,,
General-8-20260516-23:06:30-3608,config,,,**.LoRaGWNic.radio.iAmGateway,true,,
General-8-20260516-23:06:30-3608,config,,,**.loRaGW[*].**.initFromDisplayString,false,,
General-8-20260516-23:06:30-3608,config,,,**.loRaNodes[*].LoRaNic.radio.energyConsumer.typename,LoRaEnergyConsumer,,
General-8-20260516-23:06:30-3608,config,,,**.loRaNodes[*].**.energySourceModule,"""^.IdealEpEnergyStorage""",,
General-8-20260516-23:06:30-3608,config,,,**.loRaNodes[*].LoRaNic.radio.energyConsumer.configFile,"xmldoc(""../energyConsumptionParameters.xml"")",,
General-8-20260516-23:06:30-3608,config,,,**.sigma,3.57,,
General-8-20260516-23:06:30-3608,config,,,**.constraintAreaMinX,0m,,
General-8-20260516-23:06:30-3608,config,,,**.constraintAreaMinY,0m,,
General-8-20260516-23:06:30-3608,config,,,**.constraintAreaMinZ,0m,,
General-8-20260516-23:06:30-3608,config,,,**.constraintAreaMaxZ,0m,,
General-8-20260516-23:06:30-3608,config,,,LoRaNetworkTest.**.radio.separateTransmissionParts,false,,
General-8-20260516-23:06:30-3608,config,,,LoRaNetworkTest.**.radio.separateReceptionParts,false,,
General-8-20260516-23:06:30-3608,config,,,**.ipv4Delayer.config,"xmldoc(""../cloudDelays.xml"")",,
General-8-20260516-23:06:30-3608,config,,,**.radio.radioMediumModule,"""LoRaMedium""",,
General-8-20260516-23:06:30-3608,config,,,**.LoRaMedium.pathLossType,"""LoRaLogNormalShadowing""",,
General-8-20260516-23:06:30-3608,config,,,**.minInterferenceTime,0s,,
General-8-20260516-23:06:30-3608,config,,,**.displayAddresses,false,,
General-8-20260516-23:06:30-3608,config,,,**.numberOfNodes,6,,
