run,type,module,name,attrname,attrvalue,value
General-0-20260518-01:47:11-2687,config,,,**.constraintAreaMinX,0m,
General-0-20260518-01:47:11-2687,config,,,**.constraintAreaMinY,0m,
General-0-20260518-01:47:11-2687,config,,,**.constraintAreaMinZ,0m,
General-0-20260518-01:47:11-2687,config,,,**.constraintAreaMaxZ,0m,
General-0-20260518-01:47:11-2687,config,,,LoRaNetworkTest.**.radio.separateTransmissionParts,false,
General-0-20260518-01:47:11-2687,config,,,LoRaNetworkTest.**.radio.separateReceptionParts,false,
General-0-20260518-01:47:11-2687,config,,,**.ipv4Delayer.config,"xmldoc(""../cloudDelays.xml"")",
General-0-20260518-01:47:11-2687,config,,,**.radio.radioMediumModule,"""LoRaMedium""",
General-0-20260518-01:47:11-2687,config,,,**.LoRaMedium.pathLossType,"""LoRaLogNormalShadowing""",
General-0-20260518-01:47:11-2687,config,,,**.minInterferenceTime,0s,
General-0-20260518-01:47:11-2687,config,,,**.displayAddresses,false,
General-0-20260518-01:47:11-2687,config,,,**.numberOfNodes,6,
General-0-20260518-01:47:11-2687,config,,,**.numberOfGateways,1,
General-0-20260518-01:47:11-2687,config,,,**.constraintAreaMaxX,2376.0m,
General-0-20260518-01:47:11-2687,config,,,**.constraintAreaMaxY,1090.0m,
General-0-20260518-01:47:11-2687,config,,,**.loRaGW[0].**.initialX,544.00m,
General-0-20260518-01:47:11-2687,config,,,**.loRaGW[0].**.initialY,544.00m,
General-0-20260518-01:47:11-2687,config,,,output-scalar-file,../results/n100-gw1-s0.ini.sca,
General-0-20260518-01:47:11-2687,config,,,**.loRaNodes[0..1].app[0].sendInterval,1h,
General-0-20260518-01:47:11-2687,config,,,**.loRaNodes[0].**.initialX,510.63m,
General-0-20260518-01:47:11-2687,config,,,**.loRaNodes[0].**.initialY,500.08m,
General-0-20260518-01:47:11-2687,config,,,**.loRaNodes[1].**.initialX,470.29m,
General-0-20260518-01:47:11-2687,config,,,**.loRaNodes[1].**.initialY,520.24m,
General-0-20260518-01:47:11-2687,config,,,**.loRaNodes[2].**.initialX,500.60m,
General-0-20260518-01:47:11-2687,config,,,**.loRaNodes[2].**.initialY,590.25m,
General-0-20260518-01:47:11-2687,config,,,**.loRaNodes[3].**.initialX,535.86m,
General-0-20260518-01:47:11-2687,config,,,**.loRaNodes[3].**.initialY,590.63m,
General-0-20260518-01:47:11-2687,config,,,**.loRaNodes[2..3].app[0].sendInterval,exponential(8760h),
General-0-20260518-01:47:11-2687,config,,,**.loRaNodes[4..5].app[0].sendInterval,exponential(4h),
General-0-20260518-01:47:11-2687,config,,,**.loRaNodes[4].**.initialX,650.85m,
General-0-20260518-01:47:11-2687,config,,,**.loRaNodes[4].**.initialY,510.11m,
General-0-20260518-01:47:11-2687,config,,,**.loRaNodes[5].**.initialX,680.27m,
General-0-20260518-01:47:11-2687,config,,,**.loRaNodes[5].**.initialY,520.84m,
General-0-20260518-01:47:11-2687,config,,,**.loRaNodes[0].**initialLoRaSF,8,
General-0-20260518-01:47:11-2687,config,,,**.loRaNodes[0].**initialLoRaTP,8dBm,
General-0-20260518-01:47:11-2687,config,,,**.loRaNodes[1].**initialLoRaSF,9,
General-0-20260518-01:47:11-2687,config,,,**.loRaNodes[1].**initialLoRaTP,8dBm,
General-0-20260518-01:47:11-2687,config,,,**.loRaNodes[2].**initialLoRaSF,7,
General-0-20260518-01:47:11-2687,config,,,**.loRaNodes[2].**initialLoRaTP,8dBm,
General-0-20260518-01:47:11-2687,config,,,**.loRaNodes[3].**initialLoRaSF,7,
General-0-20260518-01:47:11-2687,config,,,**.loRaNodes[3].**initialLoRaTP,2dBm,
General-0-20260518-01:47:11-2687,config,,,**.loRaNodes[4].**initialLoRaSF,8,
General-0-20260518-01:47:11-2687,config,,,**.loRaNodes[4].**initialLoRaTP,8dBm,
General-0-20260518-01:47:11-2687,config,,,**.loRaNodes[5].**initialLoRaSF,7,
General-0-20260518-01:47:11-2687,config,,,**.loRaNodes[5].**initialLoRaTP,2dBm,
General-0-20260518-01:47:11-2687,config,,,**.vector-recording,false,
General-0-20260518-01:47:11-2687,config,,,**.loRaGW[*].packetForwarder.highQueueLength.vector-recording,true,
General-0-20260518-01:47:11-2687,config,,,**.loRaGW[*].packetForwarder.lowQueueLength.vector-recording,true,
General-0-20260518-01:47:11-2687,config,,,**.networkServer.app[0].delaySignal.vector-recording,true,
General-0-20260518-01:47:11-2687,config,,,**.loRaNodes[*].app[0].packetsSent:scalar,true,
General-0-20260518-01:47:11-2687,config,,,**.networkServer.app[0].totalReceivedPackets:scalar,true,
General-0-20260518-01:47:11-2687,config,,,**.loRaGW[*].**.packetDropRate:scalar,true,
General-18-20260518-02:57:32-2852,runattr,,,configname,General,
General-18-20260518-02:57:32-2852,runattr,,,datetime,20260518-02:57:32,
General-18-20260518-02:57:32-2852,runattr,,,datetimef,20260518-025732,
General-18-20260518-02:57:32-2852,runattr,,,experiment,General,
General-18-20260518-02:57:32-2852,runattr,,,inifile,n100-gw1.ini,
General-18-20260518-02:57:32-2852,runattr,,,iterationvars,"$0=""avg""",
General-18-20260518-02:57:32-2852,runattr,,,iterationvarsd,avg,
General-18-20260518-02:57:32-2852,runattr,,,iterationvarsf,avg-,
General-18-20260518-02:57:32-2852,runattr,,,measurement,"$0=""avg""",
General-18-20260518-02:57:32-2852,runattr,,,network,flora.simulations.LoRaNetworkTest,
General-18-20260518-02:57:32-2852,runattr,,,processid,2852,
General-18-20260518-02:57:32-2852,runattr,,,repetition,18,
General-18-20260518-02:57:32-2852,runattr,,,replication,#18,
General-18-20260518-02:57:32-2852,runattr,,,resultdir,results,
General-18-20260518-02:57:32-2852,runattr,,,runnumber,18,
General-18-20260518-02:57:32-2852,runattr,,,seedset,18,
General-18-20260518-02:57:32-2852,config,,,image-path,../../../inet4.4/images,
General-18-20260518-02:57:32-2852,config,,,network,flora.simulations.LoRaNetworkTest,
General-18-20260518-02:57:32-2852,config,,,output-vector-file,../results/n100-gw1-s18.ini.vec,
General-18-20260518-02:57:32-2852,config,,,**.maxTransmissionDuration,4s,
General-18-20260518-02:57:32-2852,config,,,**.energyDetection,-110dBm,
General-18-20260518-02:57:32-2852,config,,,**.vector-recording,true,
General-18-20260518-02:57:32-2852,config,,,rng-class,cMersenneTwister,
General-18-20260518-02:57:32-2852,config,,,**.loRaGW[*].numUdpApps,1,
General-18-20260518-02:57:32-2852,config,,,**.loRaGW[0].packetForwarder.localPort,2000,
General-18-20260518-02:57:32-2852,config,,,**.loRaGW[0].packetForwarder.destPort,1000,
General-18-20260518-02:57:32-2852,config,,,**.loRaGW[0].packetForwarder.destAddresses,"""networkServer""",
General-18-20260518-02:57:32-2852,config,,,**.loRaGW[0].packetForwarder.indexNumber,0,
General-18-20260518-02:57:32-2852,config,,,**.networkServer.numApps,1,
General-18-20260518-02:57:32-2852,config,,,**.networkServer.**.evaluateADRinServer,true,
General-18-20260518-02:57:32-2852,config,,,**.networkServer.app[0].typename,NetworkServerApp,
General-18-20260518-02:57:32-2852,config,,,**.networkServer.app[0].destAddresses,"""loRaGW[0]""",
General-18-20260518-02:57:32-2852,config,,,**.networkServer.app[0].destPort,2000,
General-18-20260518-02:57:32-2852,config,,,**.networkServer.app[0].localPort,1000,
General-18-20260518-02:57:32-2852,config,,,**.networkServer.app[0].adrMethod,"""avg""",
General-18-20260518-02:57:32-2852,config,,,**.numberOfPacketsToSend,0,
General-18-20260518-02:57:32-2852,config,,,sim-time-limit,3d,
General-18-20260518-02:57:32-2852,config,,,warmup-period,2h,
General-18-20260518-02:57:32-2852,config,,,simtime-resolution,-11,
General-18-20260518-02:57:32-2852,config,,,repeat,20,
General-18-20260518-02:57:32-2852,config,,,**.loRaNodes[0].app[0].timeToFirstPacket,12h 50ms,
General-18-20260518-02:57:32-2852,config,,,**.loRaNodes[0].app[0].timeToNextPacket,1h,
General-18-20260518-02:57:32-2852,config,,,**.loRaNodes[1].app[0].timeToFirstPacket,"uniform(4h, 5h)",
General-18-20260518-02:57:32-2852,config,,,**.loRaNodes[1].app[0].timeToNextPacket,1h,
