run,type,module,name,attrname,attrvalue,value
General-1-20260518-19:31:59-10638,config,,,**.loRaGW[0].packetForwarder.destPort,1000,
General-1-20260518-19:31:59-10638,config,,,**.loRaGW[0].packetForwarder.destAddresses,"""networkServer""",
General-1-20260518-19:31:59-10638,config,,,**.loRaGW[0].packetForwarder.indexNumber,0,
General-1-20260518-19:31:59-10638,config,,,**.networkServer.numApps,1,
General-1-20260518-19:31:59-10638,config,,,**.networkServer.**.evaluateADRinServer,false,
General-1-20260518-19:31:59-10638,config,,,**.networkServer.app[0].typename,NetworkServerApp,
General-1-20260518-19:31:59-10638,config,,,**.networkServer.app[0].destAddresses,"""loRaGW[0]""",
General-1-20260518-19:31:59-10638,config,,,**.networkServer.app[0].destPort,2000,
General-1-20260518-19:31:59-10638,config,,,**.networkServer.app[0].localPort,1000,
General-1-20260518-19:31:59-10638,config,,,**.networkServer.app[0].adrMethod,"""avg""",
General-1-20260518-19:31:59-10638,config,,,**.numberOfPacketsToSend,0,
General-1-20260518-19:31:59-10638,config,,,sim-time-limit,3d,
General-1-20260518-19:31:59-10638,config,,,warmup-period,2h,
General-1-20260518-19:31:59-10638,config,,,simtime-resolution,-11,
General-1-20260518-19:31:59-10638,config,,,repeat,3,
General-1-20260518-19:31:59-10638,config,,,**.alohaChannelModel,false,
General-1-20260518-19:31:59-10638,config,,,**.loRaNodes[*].**.initFromDisplayString,false,
General-1-20260518-19:31:59-10638,config,,,**.loRaNodes[*].**.evaluateADRinNode,false,
General-1-20260518-19:31:59-10638,config,,,**.loRaNodes[*].**initialLoRaBW,125 kHz,
General-1-20260518-19:31:59-10638,config,,,**.loRaNodes[*].**initialLoRaCR,4,
General-1-20260518-19:31:59-10638,config,,,**.loRaNodes[*].numApps,1,
General-1-20260518-19:31:59-10638,config,,,**.loRaNodes[*].app[0].typename,SimpleLoRaApp,
General-1-20260518-19:31:59-10638,config,,,**.LoRaGWNic.radio.iAmGateway,true,
General-1-20260518-19:31:59-10638,config,,,**.loRaGW[*].**.initFromDisplayString,false,
General-1-20260518-19:31:59-10638,config,,,**.loRaNodes[*].LoRaNic.radio.energyConsumer.typename,LoRaEnergyConsumer,
General-1-20260518-19:31:59-10638,config,,,**.loRaNodes[*].**.energySourceModule,"""^.IdealEpEnergyStorage""",
General-1-20260518-19:31:59-10638,config,,,**.loRaNodes[*].LoRaNic.radio.energyConsumer.configFile,"xmldoc(""../energyConsumptionParameters.xml"")",
General-1-20260518-19:31:59-10638,config,,,**.sigma,3.57,
General-1-20260518-19:31:59-10638,config,,,**.constraintAreaMinX,0m,
General-1-20260518-19:31:59-10638,config,,,**.constraintAreaMinY,0m,
General-1-20260518-19:31:59-10638,config,,,**.constraintAreaMinZ,0m,
General-1-20260518-19:31:59-10638,config,,,**.constraintAreaMaxZ,0m,
General-1-20260518-19:31:59-10638,config,,,LoRaNetworkTest.**.radio.separateTransmissionParts,false,
General-1-20260518-19:31:59-10638,config,,,LoRaNetworkTest.**.radio.separateReceptionParts,false,
General-1-20260518-19:31:59-10638,config,,,**.ipv4Delayer.config,"xmldoc(""../cloudDelays.xml"")",
General-1-20260518-19:31:59-10638,config,,,**.radio.radioMediumModule,"""LoRaMedium""",
