run,type,module,name,attrname,attrvalue,value
General-1-20260518-23:34:40-35278,config,,,**.loRaNodes[1].**initialLoRaSF,12,
General-1-20260518-23:34:40-35278,config,,,**.loRaNodes[1].**initialLoRaTP,14dBm,
General-1-20260518-23:34:40-35278,config,,,**.loRaNodes[2].**initialLoRaSF,9,
General-1-20260518-23:34:40-35278,config,,,**.loRaNodes[2].**initialLoRaTP,14dBm,
General-1-20260518-23:34:40-35278,config,,,**.loRaNodes[3].**initialLoRaSF,8,
General-1-20260518-23:34:40-35278,config,,,**.loRaNodes[3].**initialLoRaTP,14dBm,
General-1-20260518-23:34:40-35278,config,,,**.loRaNodes[4].**initialLoRaSF,11,
General-1-20260518-23:34:40-35278,config,,,**.loRaNodes[4].**initialLoRaTP,14dBm,
General-1-20260518-23:34:40-35278,config,,,**.loRaNodes[5].**initialLoRaSF,7,
General-1-20260518-23:34:40-35278,config,,,**.loRaNodes[5].**initialLoRaTP,11dBm,
General-1-20260518-23:34:40-35278,config,,,**.loRaNodes[6].**initialLoRaSF,12,
General-1-20260518-23:34:40-35278,config,,,**.loRaNodes[6].**initialLoRaTP,14dBm,
General-1-20260518-23:34:40-35278,config,,,**.loRaNodes[7].**initialLoRaSF,9,
General-1-20260518-23:34:40-35278,config,,,**.loRaNodes[7].**initialLoRaTP,14dBm,
General-1-20260518-23:34:40-35278,config,,,**.loRaNodes[8].**initialLoRaSF,10,
General-1-20260518-23:34:40-35278,config,,,**.loRaNodes[8].**initialLoRaTP,14dBm,
General-1-20260518-23:34:40-35278,config,,,**.loRaNodes[9].**initialLoRaSF,11,
General-1-20260518-23:34:40-35278,config,,,**.loRaNodes[9].**initialLoRaTP,14dBm,
General-1-20260518-23:34:40-35278,config,,,**.loRaNodes[10].**initialLoRaSF,11,
General-1-20260518-23:34:40-35278,config,,,**.loRaNodes[10].**initialLoRaTP,14dBm,
General-1-20260518-23:34:40-35278,config,,,**.loRaNodes[11].**initialLoRaSF,10,
